impact_id,source_type,source_id,impact_type,impact_date,direct_cost,indirect_cost,recovery_amount,approved_by,created_date
1,NCM,328,Expedite Cost,2024-03-28,9510.23,3236.58,2123.0,Kenneth Wilkinson,2024-08-10 07:48:03
2,Defect,114,Rework,2024-09-21,10574.72,4170.71,3086.51,Dennis Weiss,2024-08-10 08:19:20
3,NCM,236,Rework,2024-04-10,24849.8,2843.42,1760.34,John Alvarez,2024-10-09 22:54:40
4,Defect,342,Customer Credit,2024-01-21,22544.41,3987.31,1646.26,Travis Nielsen,2024-01-18 08:49:34
5,Defect,123,Customer Credit,2024-03-19,4841.54,3661.98,2025.59,Michael Price,2024-03-04 08:41:16
6,Defect,200,Rework,2024-07-08,2666.68,4003.06,82.92,Joseph Graham,2024-06-14 17:44:45
7,Defect,132,Scrap,2024-04-22,13602.69,112.77,2521.09,Robert Reyes,2024-09-28 22:15:29
8,Defect,137,Inspection Cost,2024-12-05,11501.62,795.91,1261.46,Joseph Blanchard,2024-07-24 11:16:27
9,NCM,168,Rework,2024-03-02,12025.2,3232.21,3509.01,Joseph Gomez,2024-09-01 01:04:53
10,Defect,395,Scrap,2024-10-08,11185.92,1599.5,1139.12,Lisa Pearson,2024-06-14 21:20:22
11,NCM,143,Warranty Claim,2024-12-01,23041.6,2091.81,3364.48,Devin Lang,2024-07-04 23:40:36
12,NCM,218,Rework,2024-05-05,962.76,3426.6,405.51,Kevin Murray,2024-12-22 02:52:00
13,NCM,351,Rework,2024-04-19,4905.57,205.51,4452.26,Dana Powers,2024-09-11 05:48:30
14,Defect,290,Customer Credit,2024-04-27,13790.93,2114.26,4893.07,Kelly Byrd,2024-04-11 12:28:30
15,Defect,279,Rework,2024-01-23,4072.17,3623.55,1717.11,Emily Smith MD,2024-09-26 00:19:19
16,Defect,299,Expedite Cost,2024-06-18,15897.8,3330.16,2627.01,Jason Fox,2024-10-12 08:06:42
17,NCM,38,Scrap,2024-06-08,16011.85,2528.25,1730.84,Heather Hardy,2024-08-19 08:30:32
18,Defect,271,Customer Credit,2024-07-12,10997.98,3704.49,2654.84,Andrew Harvey,2024-11-11 07:33:48
19,Defect,27,Inspection Cost,2024-09-06,12060.24,1276.3,2525.34,Kristopher Shannon,2024-08-19 17:59:24
20,Defect,443,Warranty Claim,2024-04-28,16760.09,182.62,2591.07,Kyle Martinez,2024-03-26 13:32:41
21,NCM,16,Warranty Claim,2024-05-16,19628.65,1343.22,2790.03,Angelica Jacobs,2024-07-07 23:04:17
22,NCM,246,Inspection Cost,2024-05-10,2888.19,2948.9,1167.03,Phillip Wong,2024-10-05 01:37:51
23,Defect,289,Inspection Cost,2024-08-21,16391.6,1393.55,2554.54,Cathy Rodriguez,2024-09-18 08:27:39
24,Defect,123,Expedite Cost,2024-08-05,22803.23,240.42,3577.47,Edward Guerrero,2024-07-07 08:00:48
25,NCM,118,Inspection Cost,2024-12-26,14035.27,1867.37,1879.1,Jesse Carney,2024-08-04 00:19:31
26,NCM,361,Warranty Claim,2024-04-02,1475.69,2622.39,3011.4,Melissa Contreras,2024-07-29 12:12:58
27,Defect,308,Inspection Cost,2024-04-10,19664.65,2618.18,4955.94,Dawn Norman,2024-07-06 07:54:15
28,NCM,211,Rework,2024-05-08,19857.4,3189.45,4679.07,Antonio Price,2024-12-18 14:05:58
29,Defect,42,Warranty Claim,2024-08-15,16798.7,4916.91,309.11,Deanna Hess MD,2024-11-18 11:17:16
30,Defect,135,Expedite Cost,2024-03-28,13109.39,4727.32,2901.69,William Gonzalez,2024-05-26 19:53:34
31,Defect,459,Warranty Claim,2024-06-16,4736.11,3289.03,2865.43,Matthew Rodriguez,2024-02-20 01:26:47
32,Defect,493,Customer Credit,2024-09-23,20285.38,3673.98,4014.34,Jessica Mendez,2024-02-03 20:01:01
33,NCM,43,Customer Credit,2024-06-14,2032.17,608.22,2494.85,Jeremy Green,2024-10-09 16:28:39
34,NCM,344,Inspection Cost,2024-03-01,8509.05,2115.73,4398.54,Benjamin Luna,2024-07-29 06:29:23
35,NCM,217,Rework,2024-01-17,23502.87,1766.58,3767.69,Alicia Jimenez,2024-12-15 23:13:58
36,NCM,278,Inspection Cost,2024-07-31,21261.89,1742.56,2758.22,April Johnson,2024-08-02 14:14:20
37,Defect,219,Customer Credit,2024-01-15,23062.57,4340.47,556.05,Christian Rivera,2024-12-12 06:03:29
38,Defect,440,Scrap,2024-07-02,12321.09,2932.07,2535.91,Aaron Zimmerman,2024-06-01 09:39:59
39,NCM,52,Expedite Cost,2024-12-13,2124.99,3012.25,2563.48,Karen Powell,2024-12-19 05:46:38
40,Defect,430,Rework,2024-09-29,15967.91,2604.13,4579.68,Robin Jones,2024-09-05 03:59:25
41,Defect,429,Scrap,2024-03-25,6033.76,3074.8,101.59,James Norris,2024-08-16 08:56:18
42,Defect,503,Rework,2024-03-06,5157.82,4558.06,2447.17,Barbara Nichols,2024-06-10 19:40:26
43,NCM,368,Scrap,2024-02-22,3782.42,2909.38,4594.93,Felicia Turner MD,2024-11-10 16:14:47
44,NCM,258,Warranty Claim,2024-02-06,7075.96,4545.03,2208.73,Maria Diaz DVM,2024-08-26 04:20:24
45,Defect,120,Inspection Cost,2024-06-10,24295.22,2665.69,2969.6,Ryan Hodges,2024-07-24 05:10:55
46,NCM,238,Expedite Cost,2024-07-20,2788.93,3760.94,327.45,Dale Spencer,2024-03-25 20:20:10
47,Defect,288,Inspection Cost,2024-12-16,1398.26,739.96,3205.61,Mary Evans,2024-01-24 18:40:19
48,NCM,116,Warranty Claim,2024-12-04,22490.34,2756.69,2832.86,Brian Barker,2024-05-24 23:05:21
49,NCM,192,Inspection Cost,2024-06-05,21355.83,4653.51,2545.36,Dr. Jeffrey Lopez,2024-06-10 19:58:24
50,Defect,2,Warranty Claim,2024-11-08,15899.01,4625.6,895.94,Alexander Davies,2024-09-10 14:08:59
51,NCM,343,Warranty Claim,2024-08-09,8237.89,3775.21,2046.65,James Sparks,2024-10-13 18:49:21
52,Defect,351,Inspection Cost,2024-04-18,20730.25,3394.99,4081.73,Kathryn Hanna,2024-04-12 07:22:59
53,Defect,193,Rework,2024-07-21,7924.39,354.46,483.35,Tracy Smith,2024-11-21 10:53:39
54,Defect,62,Rework,2024-01-13,7767.76,4001.59,1168.18,George Le,2024-11-08 21:10:25
55,Defect,131,Scrap,2024-06-10,24739.4,2583.53,4085.62,Daniel Valdez,2024-05-11 10:03:05
56,NCM,84,Expedite Cost,2024-08-09,20238.77,161.75,4808.12,Teresa Berg,2024-03-16 18:35:15
57,Defect,37,Scrap,2024-10-21,9728.43,4948.04,2133.49,Natalie Hall,2024-07-09 05:32:27
58,NCM,34,Inspection Cost,2024-12-06,21852.62,1828.48,767.89,Nicolas Burns,2024-05-28 07:58:11
59,Defect,157,Expedite Cost,2024-03-20,10884.14,4625.12,1301.98,Terry Montgomery,2024-07-31 23:24:08
60,NCM,216,Customer Credit,2024-01-28,11289.37,335.12,235.0,Matthew Smith,2024-01-27 20:36:23
61,NCM,192,Inspection Cost,2024-07-05,19534.11,1831.15,4542.48,Summer Hoover,2024-09-27 04:42:06
62,NCM,359,Customer Credit,2024-10-11,17350.56,2348.77,4876.88,Logan Conley,2024-08-31 23:33:27
63,NCM,347,Inspection Cost,2024-10-11,21416.13,3513.04,2017.36,Robert Wilson,2024-02-24 02:16:42
64,NCM,242,Expedite Cost,2024-02-11,14225.94,4028.43,4580.18,Lisa Brown,2024-09-15 03:13:09
65,Defect,123,Expedite Cost,2024-11-18,3905.65,3049.92,2332.49,George Huff,2024-05-16 02:04:35
66,NCM,238,Scrap,2024-10-21,12182.11,1788.98,2011.46,Jennifer Martinez,2024-03-31 03:51:53
67,Defect,51,Scrap,2024-05-12,17818.83,442.88,2856.39,Kimberly Morris,2024-05-29 01:37:20
68,Defect,337,Customer Credit,2024-09-21,20185.8,288.41,275.37,Cindy Williams,2024-08-15 00:09:01
69,NCM,214,Scrap,2024-06-03,21244.94,2986.45,270.37,Arthur Hill,2024-08-23 23:03:39
70,Defect,223,Customer Credit,2024-09-16,11430.09,3279.39,689.35,Carol Wood,2024-05-01 04:01:44
71,NCM,141,Customer Credit,2024-01-03,24303.39,2029.48,90.02,David Perkins,2024-07-08 14:48:52
72,NCM,360,Rework,2024-11-15,10372.16,2981.17,4473.43,Richard Chen,2024-07-17 04:52:47
73,Defect,97,Rework,2024-05-28,21781.1,1332.22,2547.2,Christopher Hobbs,2024-09-12 15:54:56
74,Defect,151,Inspection Cost,2024-10-30,10152.7,741.92,2511.3,Adam Howe,2024-02-11 20:03:38
75,Defect,123,Expedite Cost,2024-07-19,13809.57,1041.26,2949.41,Linda Campbell,2024-04-08 12:42:43
76,NCM,96,Inspection Cost,2024-08-07,12697.83,4444.69,1409.31,Rebecca Alvarez,2024-09-25 19:03:05
77,NCM,272,Rework,2024-06-01,17295.73,4479.18,3039.19,Charles Nelson,2024-09-12 19:26:03
78,Defect,222,Rework,2024-10-17,19808.68,828.05,3808.78,David Thompson,2024-10-10 18:53:19
79,Defect,231,Expedite Cost,2024-04-03,8331.14,554.11,1017.15,Linda Love,2024-09-28 17:11:41
80,Defect,327,Warranty Claim,2024-05-24,20029.46,1743.76,1486.57,Anita Serrano,2024-06-14 12:48:42
81,Defect,303,Scrap,2024-04-13,24670.75,3135.94,4062.26,Jason Grant,2024-01-18 05:45:28
82,NCM,154,Expedite Cost,2024-11-10,7296.82,615.23,3450.29,William Davila,2024-02-20 17:11:02
83,NCM,236,Expedite Cost,2024-10-16,12645.69,1845.71,1018.61,Shari Hatfield,2024-07-14 00:22:31
84,Defect,321,Warranty Claim,2024-06-24,15361.97,784.49,4307.7,Julie Sims,2024-04-27 16:58:04
85,Defect,213,Rework,2024-07-22,21910.68,1085.48,736.15,Anthony Rodriguez,2024-06-08 09:58:30
86,NCM,244,Inspection Cost,2024-03-02,22976.84,1950.58,2957.89,Ryan Pruitt,2024-02-07 10:33:44
87,NCM,327,Rework,2024-08-01,4473.74,4388.39,300.65,Christopher Livingston Jr.,2024-02-19 05:14:07
88,NCM,368,Expedite Cost,2024-07-10,21658.97,3747.89,255.53,Daniel King,2024-11-03 17:38:20
89,NCM,261,Expedite Cost,2024-06-30,12935.89,3943.99,3046.24,Stefanie Chavez,2024-01-12 15:50:53
90,NCM,18,Scrap,2024-04-15,7103.14,2916.19,4166.54,Anthony Medina,2024-10-12 04:44:32
91,Defect,228,Customer Credit,2024-07-13,3595.77,2048.7,31.42,Allen Robertson,2024-10-19 22:56:06
92,NCM,125,Scrap,2024-10-06,7715.92,1570.57,2421.88,David Wallace,2024-05-25 00:56:02
93,Defect,336,Scrap,2024-06-19,7193.51,162.53,3806.76,Jennifer Burgess,2024-05-04 12:01:06
94,Defect,166,Customer Credit,2024-01-06,2347.93,3318.29,197.96,Crystal Rodriguez,2024-11-02 03:36:23
95,Defect,108,Expedite Cost,2024-11-17,6493.51,831.53,4431.94,David Gutierrez,2024-08-24 17:34:58
96,NCM,135,Scrap,2024-10-12,14165.49,1626.22,2887.21,Steven Jones,2024-07-05 23:54:46
97,Defect,121,Warranty Claim,2024-05-28,23639.62,3764.8,2105.3,Amy Graham,2024-04-19 08:52:57
98,NCM,302,Expedite Cost,2024-03-07,13596.56,1990.15,3949.37,Leon Thompson,2024-08-24 00:03:27
99,Defect,467,Warranty Claim,2024-02-23,13930.76,2802.05,686.51,Jimmy Lee,2024-10-09 17:53:01
100,NCM,251,Scrap,2024-10-27,13897.44,4132.58,3169.43,Derrick Rogers,2024-12-17 07:02:26
